,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle,lrgen,lrecon,galtan,party_id,party_id,party_id,party_id
143,3.0,6.0,7.0,8.0,9.0,10.0,7.0,,7.0,2017.0,2017.0,2017.0,2017.0
144,3.0,6.0,7.0,8.0,9.0,10.0,7.0,5.0,6.0,2014.0,2014.0,2014.0,2014.0
145,3.0,6.0,7.0,8.0,9.0,10.0,7.0,1.0,9.0,2007.0,2007.0,2007.0,2007.0
146,3.0,6.0,7.0,8.0,8.0,9.0,,1.0,,2005.0,2005.0,2005.0,2005.0
147,7.0,3.0,7.0,3.0,2.0,3.0,5.0,7.0,4.0,2018.0,2018.0,2018.0,2018.0
148,8.0,3.0,7.0,3.0,2.0,3.0,5.0,7.0,,2008.0,2008.0,2008.0,2008.0
149,6.0,3.0,2.0,4.0,4.0,1.0,5.0,5.0,3.0,2019.0,2019.0,2019.0,2019.0
150,4.0,7.0,6.0,7.0,6.0,7.0,5.0,5.0,3.0,2010.0,2010.0,2010.0,2010.0
151,0.0,5.0,0.0,9.0,8.0,10.0,2.0,2.0,9.0,2003.0,2003.0,2003.0,2003.0
152,5.0,6.0,5.0,5.0,4.0,6.0,5.0,6.0,5.0,2004.0,2004.0,2004.0,2004.0
153,5.0,5.0,3.0,7.0,8.0,10.0,4.0,5.0,7.0,2017.0,2017.0,2017.0,2017.0
154,4.0,6.0,3.0,9.0,10.0,10.0,4.0,6.0,9.0,2014.0,2014.0,2014.0,2014.0
155,0.0,6.0,0.0,10.0,10.0,10.0,0.0,1.0,9.0,2007.0,2007.0,2007.0,2007.0
156,2.0,6.0,2.0,10.0,10.0,10.0,2.0,5.0,9.0,2005.0,2005.0,2005.0,2005.0
157,6.0,4.0,7.0,3.0,2.0,2.0,6.0,6.0,1.0,2018.0,2018.0,2018.0,2018.0
158,7.0,5.0,7.0,4.0,3.0,4.0,7.0,7.0,3.0,2008.0,2008.0,2008.0,2008.0
159,,,,,,,,,,2019.0,2019.0,2019.0,2019.0
160,8.0,6.0,6.0,5.0,9.0,5.0,6.0,6.0,3.0,2010.0,2010.0,2010.0,2010.0
161,0.0,7.0,0.0,2.0,9.0,10.0,4.0,3.0,4.0,2003.0,2003.0,2003.0,2003.0
162,9.0,7.0,5.0,1.0,5.0,4.0,5.0,5.0,4.0,2004.0,2004.0,2004.0,2004.0
163,2.0,10.0,6.0,7.0,8.0,9.0,8.0,9.0,9.0,2017.0,2017.0,2017.0,2017.0
