,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle
190,7.0,0.0,0.0,6.0,10.0,3.0
191,10.0,0.0,6.0,0.0,4.0,0.0
192,0.0,0.0,0.0,1.0,10.0,0.0
193,5.0,4.0,7.0,6.0,10.0,1.0
194,10.0,0.0,0.0,5.0,5.0,0.0
195,7.0,3.0,9.0,1.0,10.0,10.0
196,5.0,3.0,10.0,2.0,3.0,0.0
197,5.0,8.0,6.0,6.0,2.0,5.0
198,5.0,5.0,5.0,6.0,5.0,5.0
199,5.0,4.0,1.0,4.0,5.0,2.0
200,6.0,2.0,2.0,3.0,7.0,0.0
201,5.0,5.0,5.0,5.0,5.0,5.0
202,5.0,5.0,5.0,1.0,8.0,2.0
203,5.0,0.0,0.0,0.0,0.0,10.0
204,2.0,0.0,2.0,0.0,4.0,5.0
205,7.0,10.0,7.0,8.0,3.0,8.0
206,6.0,4.0,5.0,6.0,10.0,10.0
207,8.0,0.0,3.0,5.0,0.0,0.0
208,6.0,4.0,6.0,4.0,6.0,6.0
209,3.0,5.0,1.0,3.0,10.0,0.0
210,4.0,5.0,2.0,5.0,5.0,2.0
211,5.0,5.0,5.0,5.0,5.0,7.0
212,5.0,0.0,5.0,9.0,5.0,5.0
213,5.0,5.0,3.0,5.0,6.0,0.0
215,10.0,3.0,5.0,6.0,10.0,3.0
216,7.0,0.0,1.0,1.0,0.0,0.0
217,3.0,0.0,3.0,1.0,3.0,0.0
218,5.0,4.0,5.0,2.0,3.0,7.0
219,5.0,3.0,5.0,5.0,10.0,10.0
220,8.0,4.0,8.0,2.0,0.0,10.0
221,5.0,0.0,0.0,2.0,0.0,0.0
222,7.0,9.0,3.0,8.0,10.0,10.0
223,7.0,2.0,5.0,0.0,5.0,0.0
224,1.0,2.0,1.0,2.0,1.0,1.0
225,8.0,0.0,0.0,10.0,3.0,0.0
226,6.0,4.0,4.0,6.0,10.0,5.0
227,2.0,3.0,2.0,4.0,8.0,1.0
228,7.0,2.0,5.0,2.0,10.0,10.0
230,5.0,3.0,10.0,6.0,5.0,10.0
231,1.0,1.0,0.0,0.0,10.0,2.0
232,6.0,5.0,5.0,2.0,7.0,0.0
233,5.0,2.0,4.0,8.0,4.0,0.0
236,5.0,1.0,1.0,2.0,3.0,3.0
237,7.0,1.0,6.0,1.0,5.0,1.0
