,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle,lrgen_factor,lrecon_factor,galtan_factor,party_id,party_id,party_id
125,7,1,9,9,10,10,10,8,10,2007.0,2007.0,2007.0
126,3,1,1,9,10,10,10,7,10,2005.0,2005.0,2005.0
127,7,2,4,6,7,7,6,7,8,2018.0,2018.0,2018.0
128,8,1,5,6,7,7,7,8,8,2008.0,2008.0,2008.0
129,9,7,7,5,7,7,7,8,8,2019.0,2019.0,2019.0
130,4,6,4,9,8,5,7,7,7,2010.0,2010.0,2010.0
131,2,8,4,10,8,6,3,2,7,2003.0,2003.0,2003.0
132,2,7,4,9,8,6,4,4,7,2004.0,2004.0,2004.0
133,7,1,8,1,6,1,8,9,1,2017.0,2017.0,2017.0
134,6,4,4,5,4,8,5,5,8,2014.0,2014.0,2014.0
135,2,7,2,10,10,8,9,4,9,2007.0,2007.0,2007.0
136,2,6,2,10,10,8,9,4,9,2005.0,2005.0,2005.0
137,4,4,3,2,2,1,5,5,1,2018.0,2018.0,2018.0
138,5,4,5,4,6,3,5,7,5,2008.0,2008.0,2008.0
139,5,7,5,7,9,9,5,5,7,2019.0,2019.0,2019.0
140,7,7,8,3,3,4,5,5,4,2010.0,2010.0,2010.0
141,2,6,7,5,6,8,2,2,9,2003.0,2003.0,2003.0
142,3,6,7,7,9,10,2,5,8,2004.0,2004.0,2004.0
143,3,6,7,8,9,10,7,7,7,2017.0,2017.0,2017.0
144,3,6,7,8,9,10,7,5,6,2014.0,2014.0,2014.0
145,3,6,7,8,9,10,7,1,9,2007.0,2007.0,2007.0
146,3,6,7,8,8,9,1,1,8,2005.0,2005.0,2005.0
147,7,3,7,3,2,3,5,7,4,2018.0,2018.0,2018.0
148,8,3,7,3,2,3,5,7,3,2008.0,2008.0,2008.0
149,6,3,2,4,4,1,5,5,3,2019.0,2019.0,2019.0
150,4,7,6,7,6,7,5,5,3,2010.0,2010.0,2010.0
151,0,5,0,9,8,10,2,2,9,2003.0,2003.0,2003.0
152,5,6,5,5,4,6,5,6,5,2004.0,2004.0,2004.0
153,5,5,3,7,8,10,4,5,7,2017.0,2017.0,2017.0
154,4,6,3,9,10,10,4,6,9,2014.0,2014.0,2014.0
155,0,6,0,10,10,10,0,1,9,2007.0,2007.0,2007.0
156,2,6,2,10,10,10,2,5,9,2005.0,2005.0,2005.0
157,6,4,7,3,2,2,6,6,1,2018.0,2018.0,2018.0
158,7,5,7,4,3,4,7,7,3,2008.0,2008.0,2008.0
159,9,10,10,5,0,2,6,8,1,2019.0,2019.0,2019.0
160,8,6,6,5,9,5,6,6,3,2010.0,2010.0,2010.0
161,0,7,0,2,9,10,4,3,4,2003.0,2003.0,2003.0
162,9,7,5,1,5,4,5,5,4,2004.0,2004.0,2004.0
163,2,10,6,7,8,9,8,9,9,2017.0,2017.0,2017.0
164,1,10,4,10,10,10,9,10,9,2014.0,2014.0,2014.0
165,0,10,1,10,10,10,10,10,10,2007.0,2007.0,2007.0
166,1,10,4,10,10,10,9,10,9,2005.0,2005.0,2005.0
167,5,1,7,0,2,0,6,7,0,2018.0,2018.0,2018.0
168,10,6,9,8,9,9,8,9,7,2008.0,2008.0,2008.0
169,3,2,4,1,3,1,2,2,3,2019.0,2019.0,2019.0
