"","econ_interven","environment","redistribution","civlib_laworder","immigrate_policy","sociallifestyle","lrgen","lrecon","galtan","party_id","RC1","RC2"
"850",9,6,8,4,6,5,6,9,6,2203,-0.294697422374966,1.7191043247712
"851",1,4,1,5,7,8,5,0,7,2202,0.685485182373141,-1.66492350476427
"852",1,1,0,10,10,10,10,0,10,2209,1.55271622475986,-2.2228647353159
"853",7,5,5,10,9,9,9,8,9,2201,1.22861547546549,0.267381108596972
"854",2,2,2,3,7,1,3,1,2,2204,-0.521502910457611,-0.974135566021195
"856",9,4,9,2,3,3,7,8,2,2203,-1.25489794852032,2.0536790990367
"857",3,5,4,4,4,5,5,5,4,2202,-0.169957317003258,-0.393514496875493
"858",6,8,8,9,10,10,9,7,9,2209,1.54291135129499,0.732282644572421
"859",7,NA,8,8,8,9,8,8,8,2201,0.987239978316689,1.02268201416993
"860",2,3,2,2,1,2,4,4,1,2204,-1.09022126599977,-0.858077579538058
"861",5,0,4,1,0,1,6,5,2,2210,-1.88660784320185,0.200882504267866
"862",7,6,3,3,3,4,8,8,2,2203,-0.577950707374747,0.367765484785031
"863",4,6,7,5,6,5,5,3,5,2202,0.100620659322781,0.410226921861577
"864",5,8,8,8,10,9,10,2,10,2209,1.37647136225123,0.584285033271458
"865",7,7,5,6,7,8,8,8,8,2201,0.630702685475489,0.507204614542424
"866",3,3,7,3,4,1,4,4,1,2204,-0.964532320672925,0.354972478395246
"867",7,3,4,2,3,2,7,8,2,2210,-1.18857312322956,0.597216244668608
"868",0,10,0,10,10,10,10,10,10,2302,2.37939911610716,-2.18892485536266
"869",4,2,5,9,8,8,6,8,6,2308,0.79621753559242,-0.376245552824528
"870",2,1,2,3,5,3,1,2,3,2301,-0.615311097358355,-1.04531641675741
"871",2,1,2,3,5,2,2,4,1,2311,-0.719226455960015,-1.00717335766976
"872",4,0,5,5,5,3,5,5,0,2309,-0.670115896229492,-0.0779418135461277
"873",3,0,5,5,5,1,7,6,0,2314,-0.827680235902432,-0.216230595598995
"875",1,8,8,10,10,10,7,5,10,2302,1.90703424691936,-0.369026086408024
"876",1,8,10,10,10,10,9,5,10,2308,1.84464387477261,0.0461112574503369
"877",3,6,3,4,3,5,3,1,5,2301,-0.160178830679094,-0.557111405054892
"878",4,6,3,4,2,4,3,1,5,2311,-0.422045768095557,-0.28803443534277
"879",5,2,3,3,4,2,5,5,2,2309,-0.922637474373737,-0.111908221306267
"880",6,2,3,2,3,1,5,5,0,2314,-1.29729541976268,0.185602978245414
"881",6,2,3,3,3,1,5,5,1,2310,-1.1845044117902,0.157168748405856
"882",2,8,7,9,9,8,8,3,8,2302,1.45965612900213,-0.240940499697868
"883",4,6,7,7,6,7,6,5,6,2308,0.534033392471057,0.277072344007149
"884",4,5,7,5,5,5,2,6,4,2301,-0.0933330434968572,0.398973178904376
"885",5,4,7,4,4,4,2,5,4,2311,-0.554259490421012,0.668871625102567
"886",4,2,7,4,5,5,4,4,5,2309,-0.464929556074976,0.344569148683463
"887",6,4,5,3,3,3,3,7,2,2314,-0.866527063663204,0.551245480795888
"889",2,8,7,9,10,10,10,2,9,2302,1.77517204748987,-0.333585628269468
"890",3,7,8,9,10,10,10,2,9,2308,1.60744198235091,0.0609451905343987
"891",5,6,7,5,5,7,4,6,7,2301,0.150499797711296,0.564874714310734
"892",4,5,9,5,4,6,3,3,5,2311,-0.159493258326372,0.792326474071372
"893",3,2,7,2,3,4,2,2,2,2309,-0.959530955660064,0.257723788014639
"894",7,3,5,2,3,4,3,8,2,2314,-1.01193759209961,0.728498798422478
"896",0,10,9,9,10,10,1,1,10,2302,1.98585143347431,-0.29237257816048
"897",4,NA,6,7,8,9,5,5,6,2308,1.0099968237004,-0.0325972785515496
"898",4,3,2,5,7,6,4,5,6,2301,0.209391644970099,-0.764956767328743
"899",8,1,1,1,5,2,8,7,2,2311,-1.21521155101387,0.12957583144924
"900",6,1,1,3,6,4,7,7,4,2309,-0.573580861520411,-0.449087557257832
"901",8,2,1,2,5,3,7,7,3,2314,-0.912236682904517,0.0906112958755172
"903",2,6,2,10,10,10,9,3,9,2302,1.8714019827588,-1.45508872446191
"904",2,6,3,10,10,10,9,3,9,2308,1.84020679668543,-1.24752005253273
"905",2,6,2,6,6,4,5,2,6,2301,0.366004994121231,-1.04705740899258
"906",3,5,3,3,4,3,2,3,4,2311,-0.45938385610568,-0.496362820789804
"907",3,3,3,2,3,3,3,3,4,2309,-0.85239706843301,-0.506795087260937
"908",3,4,3,2,4,2,3,3,4,2314,-0.762358724215032,-0.457398285216081
"909",3,4,4,3,3,2,2,2,4,2310,-0.788448103600352,-0.261904832730169
"910",3,8,6,10,10,10,9,6,10,2302,1.86889186400535,-0.35501362981003
"911",3,6,7,10,10,10,9,6,10,2308,1.66515967486155,-0.202670464587831
"912",2,5,9,4,3,2,2,3,1,2301,-0.695098146929156,0.560542150201487
"913",5,5,8,3,3,1,3,3,0,2311,-1.03140846002105,1.06327546788405
"914",2,0,8,3,4,2,5,2,4,2309,-1.1003512752199,0.226984930948122
"915",6,3,7,1,1,0,3,5,1,2314,-1.76788443166395,1.14278572903542
"917",2,10,3,10,10,9,9,3,10,2302,2.08136544422462,-1.09892598003111
"918",2,NA,3,10,10,10,9,3,10,2308,1.96529612391149,-1.20748156017017
"919",4,3,3,4,5,2,5,7,4,2301,-0.565626386051241,-0.343663608416803
"920",6,3,3,2,4,1,5,9,2,2311,-1.10334171694304,0.196856721202615
"921",3,0,3,3,9,1,3,2,5,2309,-0.560131074562942,-0.6399355213634
"922",8,2,3,1,3,1,5,9,1,2314,-1.51061918279591,0.643187008541328
"923",4,0,3,2,4,1,5,5,2,2310,-1.26161446648792,-0.315131339314212
"924",0,NA,4,10,10,8,10,0,9,2302,1.92169832738428,-1.32240254183319
"925",1,NA,4,8,9,8,8,6,6,2308,1.40013513016818,-1.07878057689519
"926",1,NA,3,5,NA,3,3,4,4,2301,0.0110952719003839,-0.981917175937518
"927",1,NA,4,5,NA,1,3,5,3,2311,-0.365930148705732,-0.732067800780982
"928",1,0,5,5,NA,4,3,4,5,2309,-0.506933826128458,-0.745904414481467
"929",9,NA,8,2,NA,0,8,9,2,2314,-1.23261875865272,1.99393571041443
"930",5,3,NA,2,NA,0,5,7,1,2310,-1.27901332302624,0.272216061097682
"931",1,8,4,8,10,8,7,4,9,2302,1.59840225806458,-1.06614619627032
"932",3,6,2,9,8,7,6,2,8,2308,1.18122811888212,-1.06493239633863
"933",4,3,3,6,5,2,4,6,4,2301,-0.340044370106284,-0.40053206809592
"934",8,3,7,3,0,0,4,8,0,2311,-1.75052037206418,1.53142608020895
"935",3,7,2,5,7,5,3,3,4,2309,0.500816670039671,-0.830937595055302
"936",NA,3,6,3,3,1,3,7,2,2314,-1.15412168532733,0.646556342375755
"938",NA,9,8,9,10,9,10,6,8,2302,1.46494484119209,1.05552833728738
"939",6,6,4,6,10,5,6,5,6,2308,0.637205275592326,0.12280043510567
"940",6,6,3,4,6,3,4,4,4,2301,-0.195753076620274,0.113822382616078
"941",7,6,4,2,4,2,4,8,2,2311,-0.822082417339494,0.663695494332789
"942",4,3,3,2,6,2,4,4,2,2309,-0.683523200711774,-0.303154159133975
"943",7,5,5,2,4,2,5,8,3,2314,-0.939546104948082,0.843651412908479
"945",1,8,1,8,10,7,8,1,8,2302,1.58807245768305,-1.6507091529702
"946",3,6,2,7,10,6,8,2,7,2308,1.06710114690435,-1.00263889836444
"947",3,5,2,3,6,2,3,2,3,2301,-0.316733626065115,-0.69850645442391
"948",6,5,3,NA,3,1,3,3,2,2311,-0.908780255988687,0.235741873990394
"949",3,5,2,3,6,1,4,3,3,2309,-0.420648984666775,-0.660363395336255
"950",7,4,6,1,3,0,4,4,2,2314,-1.48531671901689,1.14468668989533
"952",0,NA,NA,10,10,10,8,1,10,2302,2.18383157631595,-2.12098979657981
"953",0,NA,NA,10,9,10,7,1,10,2308,2.08321346588138,-2.09149107725171
"954",5,NA,NA,5,2,3,5,7,0,2301,-0.648258877821519,0.203421896661689
"955",5,NA,NA,3,1,1,3,6,0,2311,-1.24469963258362,0.269955318318535
"956",6,NA,NA,3,1,1,3,5,0,2309,-1.3030343114999,0.688623645217807
"959",1,3,6,10,10,10,9,6,8,2302,1.53808211139004,-0.922227197033838
"960",4,NA,2,10,10,10,10,7,10,2308,1.87870485461706,-0.991422982313693
"961",3,NA,1,5,4,3,3,3,4,2301,-0.244739694318904,-0.99183946467775
"962",6,2,1,2,2,0,2,3,1,2311,-1.44650560750201,-0.175032296129001
"963",NA,2,5,3,6,2,6,5,6,2309,-0.769657443951637,0.270511101759513
"964",2,1,1,0,1,0,2,2,1,2314,-1.66497581614509,-0.987717180319792
"965",6,4,1,1,1,0,2,4,1,2310,-1.49444481368849,-0.0750135491861703
"966",3,7,5,10,10,10,10,5,10,2302,1.81381854854351,-0.590195055092701
"967",2,3,2,7,9,8,8,2,8,2308,0.958707535747982,-1.35997916643211
"968",2,2,2,2,6,2,3,2,1,2301,-0.638063761112855,-0.967485384873001
"969",2,2,2,2,4,3,3,2,1,2311,-0.749518805080046,-0.972910423168075
"970",2,0,2,2,6,1,2,2,0,2309,-0.914516122784941,-0.984567832492327
"971",4,1,3,2,3,1,4,4,1,2314,-1.28303116623713,-0.271159575564431
"973",2,6,2,7,4,3,2,3,3,2410,0.159510240923202,-1.00463055895191
"974",4,NA,4,NA,5,4,6,6,5,2415,-0.160058347864631,-0.17137266287573
"975",8,NA,5,8,7,5,8,7,6,2416,0.412317171626638,0.753108116668632
"976",7,7,6,3,2,0,7,NA,1,2417,-1.10861439975072,1.18701550067297
"977",8,4,6,9,10,10,10,7,10,2406,1.15969496224013,0.635844087756452
"978",3,5,0,6,5,6,4,3,7,2405,0.392006003121283,-1.33515971375528
"979",10,7,8,2,1,5,8,9,6,2412,-1.02270332073721,2.09995549001344
"980",7,NA,6,3,3,5,6,6,5,2414,-0.666829683758707,0.920573775128402
"982",5,5,4,4,4,4,4,3,6,2410,-0.374405430665674,0.0737783626685167
"983",6,5,6,4,5,4,6,6,7,2415,-0.379376979058378,0.687131596358764
"984",6,5,8,7,8,5,7,7,8,2416,0.323576635167243,0.929746160421922
"985",7,5,8,7,4,1,6,7,3,2417,-0.573091981907472,1.36232933858588
"986",7,5,8,7,10,9,9,7,10,2406,0.904342094612351,0.959030803506899
"987",6,5,7,6,8,9,9,7,10,2405,0.657642247674776,0.598039481981681
"988",9,5,9,8,7,1,7,8,5,2412,-0.268973311215851,1.92153654994299
"989",7,5,8,6,7,6,NA,8,7,2414,0.15674940698162,1.15097124179829
"990",5,5,4,6,5,5,3,4,8,2402,0.0627771451653675,-0.0375921664945463
"991",4,6,4,5,5,4,5,5,6,2410,-0.0173943423431788,-0.157977024442019
"992",3,6,5,6,5,5,4,3,5,2415,0.218383215687963,-0.23156054166823
"993",3,7,3,8,6,6,6,6,7,2416,0.804224665200968,-0.730455661336163
"994",5,5,6,6,3,2,7,7,2,2417,-0.526729705355209,0.52469237541936
"995",4,4,4,8,8,6,5,4,7,2406,0.679327999560424,-0.423868370031858
"996",3,6,7,7,8,7,4,4,8,2405,0.799670172570285,0.029779422986391
"997",3,5,7,6,4,4,7,6,4,2412,-0.141876217880084,0.210466118320586
"998",3,4,5,5,8,5,5,4,6,2414,0.256110808498332,-0.307428849724523
"999",3,2,1,2,5,3,1,2,9,2402,-0.660904795252625,-0.982263205265369
"1000",4,NA,4,6,6,9,4,3,7,2410,0.696778109461457,-0.401769386122191
"1002",6,4,6,7,9,7,7,7,8,2416,0.615214424266522,0.39435093463847
"1003",4,3,3,4,6,0,4,4,1,2417,-0.665771901970135,-0.283736500637783
"1004",6,5,6,8,10,10,8,6,9,2406,1.23370521086362,0.262741270493147
"1005",7,7,7,6,9,7,5,7,8,2405,0.67976735729593,0.927766996695859
"1006",7,4,7,5,6,1,6,8,3,2412,-0.638376910745418,1.15129835218975
"1009",2,4,2,3,4,4,4,3,3,2410,-0.360275435435481,-0.984262205388307
"1010",8,NA,8,9,10,NA,6,7,NA,2415,1.20945138223382,1.24396653735394
"1011",3,NA,4,9,10,10,9,6,10,2416,1.74516300187469,-0.765187584179299
"1012",2,3,2,2,6,0,4,4,0,2417,-0.759625976780961,-0.8635865133442
"1013",7,5,8,9,10,10,9,8,10,2406,1.23383946915897,0.864019284740126
"1014",7,4,7,8,8,9,6,7,10,2405,0.746689384554142,0.728133169177249
"1015",8,6,7,7,6,3,7,8,6,2412,-0.0826935520570944,1.28794418127048
"1018",1,8,2,7,8,9,2,4,9,2410,1.43654657827166,-1.45827434858419
"1019",7,7,7,3,8,6,6,7,4,2415,0.129793773492409,1.06757175569848
"1020",7,7,7,3,8,6,7,7,6,2416,0.129793773492409,1.06757175569848
"1021",7,7,7,3,8,2,8,8,3,2417,-0.285867660914228,1.2201439920491
"1022",7,7,7,3,8,7,8,8,8,2406,0.233709132094069,1.02942869661083
"1023",7,5,7,3,8,7,7,8,7,2405,0.0611721290236422,0.974203189903844
"1024",7,7,7,3,8,7,7,8,6,2412,0.233709132094069,1.02942869661083
"1025",7,7,6,3,8,7,7,8,6,2414,0.264904318167443,0.821860024681645
"1026",1,9,2,8,3,9,1,2,9,2402,1.09718008135723,-1.37730077308881
"1027",3,5,4,5,6,6,NA,NA,NA,2410,0.26211945213973,-0.492809806595287
"1028",6,5,4,5,7,6,NA,NA,NA,2415,0.219005520833019,0.134555883692954
"1029",6,5,6,5,6,7,NA,NA,NA,2416,0.152845306003504,0.52790917885995
"1030",6,5,6,5,6,NA,NA,NA,NA,2417,-0.0913557867103956,0.617545367715939
"1031",5,5,5,10,10,10,NA,NA,NA,2406,1.54074879041233,-0.216270761343328
"1032",5,2,5,7,6,7,NA,NA,NA,2405,0.201083380946575,-0.0339411130369973
"1033",8,5,8,5,5,4,NA,NA,NA,2412,-0.429509098293406,1.50298451083392
"1036",6,NA,NA,6,5,5,5,7,8,2410,-0.019416124106877,0.449583282576914
"1037",6,NA,NA,8,5,8,6,7,7,2415,0.556829141300591,0.41039670487565
"1038",8,NA,NA,7,6,10,6,6,2,2416,0.735199536799808,0.930250838446311
"1039",5,NA,NA,9,6,5,7,9,4,2417,0.509028066300602,0.100116774053982
"1040",7,NA,NA,9,10,8,10,7,3,2406,1.36684614195393,0.657803879509431
"1041",7,8,NA,6,9,8,6,7,6,2405,0.883989051165821,0.823830788593563
"1045",0,10,3,6,8,9,2,3,7,2410,1.51536376482661,-1.38162084033665
"1046",10,10,7,NA,9,8,9,NA,5,2415,1.06651515026944,1.57211384210189
"1047",5,10,4,7,9,8,8,4,8,2416,1.34939754175659,-0.107827848414778
"1048",4,5,3,1,0,0,5,5,1,2417,-1.47771913052369,-0.0450542420343828
"1049",5,7,6,9,10,10,9,4,8,2406,1.5692995994369,0.0749576471323922
"1050",5,10,6,7,8,7,6,5,7,2405,1.07540660972376,0.361811564927528
"1051",5,8,6,4,3,4,7,6,4,2412,-0.285675499491209,0.58811297698364
"1052",5,7,6,6,7,5,6,7,6,2414,0.388294178657894,0.400052663278215
"1053",5,7,4,NA,NA,5,1,2,7,2402,0.511953734186299,-0.0289122240754128
"1054",2,5,3,7,7,7,3,7,6,2410,0.780763591574525,-1.02632390791571
"1055",5,3,5,7,7,6,5,3,5,2415,0.291121725164554,0.0154556890078581
"1056",3,NA,7,10,8,8,8,8,9,2416,1.31960020647107,-0.0688148476017987
"1057",5,8,4,1,4,2,4,4,2,2417,-0.661803667180789,0.318205430422975
"1058",3,7,8,6,10,10,8,8,8,2406,1.26906895843347,0.146247880053075
"1059",6,8,7,4,7,7,5,5,7,2405,0.375349817847715,0.830391330292871
"1060",7,7,6,3,5,3,6,5,3,2412,-0.473812720092468,1.02350929222114
"1061",6,5,8,NA,8,6,5,5,6,2414,0.416212892971654,0.894446524318223
"1063",6,NA,3,6,5,7,4,4,6,2410,0.260163521065204,-0.104110781035511
"1065",8,NA,3,8,8,9,8,6,7,2416,1.02824815500177,0.178703989737083
"1066",6,1,2,2,2,1,5,4,2,2417,-1.46005393650894,-0.0332194366409662
"1067",7,4,4,9,10,9,9,6,8,2406,1.16843635331559,0.0442749027575688
"1068",7,4,4,7,6,8,6,5,8,2405,0.408198173631278,0.204722463109503
"1069",5,NA,5,5,3,3,6,6,5,2412,-0.521663868959697,0.301892323571386
"1071",9,NA,2,5,NA,5,3,2,7,2402,0.0741892478851775,0.436823294786461
"1072",2,8,3,7,5,9,3,2,8,2410,1.03202941081463,-0.987053745237965
"1073",4,7,5,7,8,7,4,2,7,2415,0.898062668721869,-0.143170267290302
"1074",4,6,6,6,7,7,6,4,7,2416,0.560122771856378,0.081578891521237
"1075",8,4,5,2,2,1,7,7,2,2417,-1.39536674518418,1.1014746396634
"1076",5,6,7,7,10,9,8,2,8,2406,1.1223385372817,0.349925084474855
"1077",6,7,6,7,4,8,6,2,6,2405,0.439509281051698,0.520841187592739
"1078",7,5,6,3,3,2,7,6,3,2412,-0.965635484333403,1.03914486539439
"1079",7,5,5,4,4,4,7,7,5,2414,-0.506133371799806,0.710496835054051
"1080",2,7,3,7,NA,8,2,3,6,2402,1.14874837433837,-1.02314661913323
"1081",3,9,6,7,6,6,7,2,8,2507,0.770385102078791,-0.0240899090020814
"1082",8,9,9,8,8,8,9,7,9,2506,0.96145978395142,1.5340522391189
"1083",1,6,1,2,3,1,1,1,1,2501,-0.638499153823182,-1.19195785333987
"1084",10,10,10,0,2,0,9,9,0,2518,-1.46376179594715,2.82915583865337
"1085",4,7,4,8,9,10,8,2,10,2511,1.46148013985713,-0.509961356718296
"1086",7,8,7,9,10,10,10,7,9,2515,1.52384015983798,0.739288872871418
"1087",3,10,4,9,10,9,2,2,8,2516,1.88711287264839,-0.648348178034196
"1088",5,6,5,NA,NA,3,4,4,6,2521,-0.131754722376105,0.289261206156751
"1089",5,1,2,2,NA,2,2,2,2,2522,-1.23587681954203,-0.296570752714387
"1090",2,1,1,0,2,0,1,2,0,2523,-1.55729061486067,-1.00407619071608
"1091",3,7,4,8,8,8,6,3,10,2507,1.19623059889976,-0.631891128374873
"1092",6,7,4,6,7,6,7,7,8,2506,0.504333531875924,0.161347160560376
"1093",2,3,2,1,4,1,2,2,2,2501,-0.98387202872063,-0.840577321799716
"1094",8,3,8,0,3,0,7,8,0,2518,-1.79703297820171,1.77522041046793
"1095",3,7,2,9,9,8,4,4,9,2511,1.47909718030341,-1.09182171246908
"1096",4,8,3,9,8,9,5,5,9,2515,1.48013427555211,-0.6638494356496
"1097",3,8,4,8,8,8,5,5,8,2516,1.28249910043497,-0.604278375021382
"1098",4,6,5,8,8,9,5,5,8,2521,1.13241589236245,-0.275503368658661
"1099",3,1,5,2,8,2,4,5,3,2522,-0.652813795829722,-0.190535243003354
"1100",3,3,4,1,3,0,4,6,0,2523,-1.30812933828384,-0.156363008229232
"1101",2,7,2,7,NA,9,3,4,9,2507,1.31616447939873,-1.27376605326895
"1102",7,8,5,4,4,5,7,8,5,2506,-0.143412508592507,0.755192036026868
"1103",1,NA,1,1,2,2,2,1,1,2501,-1.08288031031224,-1.29023613493494
"1104",10,8,10,1,1,1,6,10,2,2518,-1.52727763372786,2.72371205341547
"1111",4,5,5,7,7,9,3,6,8,2507,0.825671181570337,-0.258322881776303
"1112",6,6,5,5,5,5,7,5,6,2506,-0.0452069248756514,0.440598388855861
"1113",5,6,4,5,4,4,3,5,4,2501,-0.175345921157982,0.0729568861824486
"1114",8,5,6,0,4,1,8,8,1,2518,-1.35050504309845,1.36080650383261
"1115",4,5,3,8,7,9,9,4,10,2511,1.00085256168956,-0.701894455474222
"1116",5,6,5,9,7,9,8,5,9,2515,1.08725532152013,-0.0730036878737526
"1117",5,6,5,5,NA,8,5,5,6,2516,0.359879608973475,0.105050707206202
"1120",3,4,2,5,5,3,8,8,7,2523,-0.181189954338136,-0.804771716147883
"1121",4,4,7,5,5,8,7,3,9,2507,0.132144530772907,0.256931248287921
"1122",7,6,5,7,5,8,8,8,9,2506,0.441854789343905,0.483875652141955
"1123",2,6,8,1,5,1,2,3,2,2501,-0.804552439270814,0.471313959439549
"1124",9,6,3,1,5,1,5,8,1,2518,-1.00044115161659,0.935494901390887
"1125",4,6,8,7,5,9,7,3,10,2511,0.602983722316576,0.42471390815731
"1126",3,6,8,7,9,9,7,3,10,2515,1.08399090498465,0.144702966343971
"1127",6,6,6,5,5,NA,4,5,5,2516,-0.112772486459607,0.66151713146572
"1128",3,6,8,7,10,5,9,3,10,2521,0.776014671862441,0.280916192298301
"1131",2,5,5,7,6,8,4,4,7,2507,0.71460337674501,-0.632970612748712
"1132",7,5,6,5,5,5,6,6,6,2506,-0.212936990014618,0.835129207659728
"1133",2,3,2,3,5,2,3,2,3,2501,-0.546689452889588,-0.951947850962778
"1134",8,7,8,4,3,4,7,8,4,2518,-0.585133505764307,1.61936226817304
"1135",3,5,3,7,8,10,4,3,9,2511,1.14992849113355,-0.942537195346786
"1136",5,7,3,7,7,7,4,5,7,2515,0.802501462053816,-0.327373700524195
"1137",7,5,6,NA,5,5,5,6,5,2516,-0.100145982042139,0.806694977820169
"1138",NA,NA,3,8,9,10,6,4,8,2521,1.50126802706492,-0.853178157122756
"1140",NA,5,5,5,NA,3,6,6,4,2523,-0.306990620530621,0.329158529026362
"1141",3,7,7,10,10,10,4,5,10,2507,1.75142817639676,-0.175057711234341
"1142",4,6,6,7,6,4,7,7,4,2506,0.253482502739454,0.183932849340934
"1143",2,3,1,5,7,2,2,3,3,2501,-0.0745418483024062,-1.24910300336366
"1144",8,7,3,4,3,1,8,8,2,2518,-0.740903651202411,0.695948085790105
"1145",0,5,0,10,10,10,0,1,10,2511,1.94805660843109,-2.32698862213012
"1146",1,5,1,10,9,9,3,1,9,2515,1.65499448494126,-1.85034298048881
"1147",7,7,6,4,5,7,5,6,6,2516,0.0546397222866482,0.842502826030958
"1148",0,5,0,10,10,10,0,1,10,2521,1.94805660843109,-2.32698862213012
"1149",5,4,6,6,5,5,6,7,4,2522,-0.0858817285165954,0.349932424010324
"1150",1,3,1,7,5,3,8,1,3,2523,0.0898515012057398,-1.52597140156603
"1151",3,5,3,7,8,7,3,3,8,2507,0.838182415328571,-0.828108018083821
"1152",4,5,3,5,7,5,6,4,6,2506,0.246818103365491,-0.464019529604926
"1153",2,4,3,3,4,3,2,2,3,2501,-0.495385980110515,-0.738550474371472
"1154",7,6,6,3,4,3,7,7,2,2518,-0.667766422912106,1.01225554926394
"1155",2,6,3,8,8,8,4,3,9,2511,1.1914236609683,-1.08164745388572
"1156",3,6,3,8,7,8,5,4,7,2515,1.0334720821535,-0.850713543261254
"1157",5,6,5,5,5,5,6,5,5,2516,0.0050594526547271,0.226023488627684
"1158",1,6,2,8,9,9,2,2,9,2521,1.48448578445814,-1.55829309552702
"1159",3,3,4,6,4,4,3,3,2,2522,-0.220827662730386,-0.467465404173937
"1160",3,NA,4,4,4,4,3,3,3,2523,-0.312693501295763,-0.367797176796909
"1161",1,6,7,8,5,9,7,2,8,2507,0.897769048953565,-0.455013694295961
"1162",5,5,5,5,5,8,8,6,7,2506,0.230537026924492,0.0839815580112277
"1163",2,5,7,5,5,3,2,2,4,2501,-0.200631005639419,0.0461094966233321
"1164",8,5,3,2,3,2,2,8,3,2518,-1.03510731161614,0.659447979674586
"1165",3,5,NA,7,7,9,9,2,10,2511,0.911812023085096,-0.711601754723038
"1166",3,5,NA,NA,7,8,9,3,10,2515,0.802856600900864,-0.712129007037263
"1167",3,5,5,NA,9,8,7,3,10,2516,1.07762540944589,-0.490220127581053
"1170",5,6,6,3,3,3,7,6,3,2523,-0.674918869135773,0.599464759203872
"1171",5,5,6,8,4,8,6,8,8,2507,0.430029663484129,0.222606550818022
"1172",7,5,7,7,3,9,7,9,7,2506,0.181740871694752,0.865975204351751
"1173",4,5,3,6,4,3,4,7,4,2501,-0.171277209718622,-0.367090610080303
"1174",8,5,9,7,2,3,8,9,3,2518,-0.662093230876756,1.74090481336051
"1175",4,NA,3,5,3,8,4,5,8,2511,0.0976293984954458,-0.522677128956451
"1176",5,NA,5,8,8,10,5,5,8,2515,1.22057227404782,-0.0880264261767429
"1177",6,NA,6,6,4,5,5,6,4,2516,-0.153251380719425,0.609859725655956
"1178",5,NA,5,5,NA,5,5,7,NA,2521,-0.067228023789662,0.190179069672097
"1181",3,5,4,7,8,8,6,4,8,2507,0.910902587856855,-0.658682405242296
"1182",5,5,5,4,6,5,7,7,6,2506,-0.0863148555685403,0.210485954717461
"1183",2,4,2,2,3,3,3,3,3,2501,-0.684667003294044,-0.901325906064803
"1184",8,6,7,3,3,3,8,8,3,2518,-0.856913187800284,1.45075813181758
"1185",4,6,3,9,7,8,9,3,9,2511,1.0959967125956,-0.664572872872635
"1186",3,7,3,8,7,9,9,3,8,2515,1.22365594229037,-0.861243848995418
"1187",5,6,4,6,7,6,5,4,4,2516,0.468331407871089,-0.0808404930212915
"1188",4,6,4,8,7,8,7,4,8,2521,0.952010518549744,-0.428569971103896
"1189",3,3,4,2,3,4,3,4,4,2522,-0.779676895904726,-0.337369474419411
"1190",3,4,3,2,3,3,5,3,3,2523,-0.766128566897797,-0.479182333907446
"1191",0,9,0,10,9,10,9,3,10,2605,2.18544541328752,-2.20017859831986
"1192",3,8,2,5,5,8,5,8,4,2603,0.683460844811013,-0.885035998172196
"1193",1,8,0,5,4,4,2,2,4,2601,0.323037336327458,-1.56039189574
"1194",1,9,0,6,7,8,4,3,6,2606,1.26081388409506,-1.76286263976556
"1195",4,8,3,6,7,9,6,7,6,2617,1.03407605035025,-0.562187735734633
"1196",2,3,2,3,3,6,3,7,3,2618,-0.3463984210518,-1.07180206652082
"1197",2,2,1,1,2,1,2,8,2,2621,-1.25431574675132,-1.04304072628981
"1199",9,NA,9,4,9,8,8,9,8,2619,0.455565523819774,1.81010846894948
"1200",3,8,5,8,8,7,7,5,7,2605,1.14738855575994,-0.358566644004547
"1201",6,6,7,3,4,3,5,6,4,2603,-0.648695231455102,1.00524932096494
"1202",5,5,4,3,2,2,4,4,3,2601,-0.910397558410321,0.211216731475966
"1203",4,6,5,6,7,6,6,3,6,2606,0.487402599328093,-0.0878467213202883
"1204",6,6,6,7,7,5,6,6,5,2617,0.364550307564781,0.558580580313343
"1205",10,NA,9,3,4,3,5,8,3,2618,-0.847449737571956,2.29939583075113
"1206",5,2,5,2,2,0,2,4,1,2621,-1.52101997426513,0.440667491359544
"1207",0,1,0,1,1,0,1,0,1,2620,-1.42045686703848,-1.65286988254489
"1208",10,8,8,9,9,9,10,10,6,2619,1.13024528128739,1.64508431496907
"1209",3,8,3,8,8,8,7,5,8,2605,1.31369428650835,-0.811847046950563
"1210",6,4,6,4,5,4,5,6,6,2603,-0.465645480593591,0.659518843005273
"1211",3,4,3,3,3,2,3,4,4,2601,-0.757252917526978,-0.46947350465935
"1212",4,7,4,5,6,7,6,4,7,2606,0.488305436281437,-0.261152458747784
"1213",6,8,6,6,7,7,7,7,8,2617,0.632127019866047,0.565954198684573
"1214",7,5,7,3,4,2,5,7,3,2618,-0.889145469122353,1.23035452692728
"1215",2,2,2,2,2,1,2,3,2,2621,-1.17271992485221,-0.863906284200184
"1216",2,2,2,2,2,2,2,2,2,2620,-1.06880456625055,-0.902049343287839
"1217",5,9,8,8,9,9,8,8,9,2619,1.35505466250201,0.628256797021239
"1218",1,8,1,9,9,9,8,3,9,2605,1.80100898157442,-1.73907049058878
"1219",6,6,7,3,2,2,7,8,5,2603,-0.967980992625611,1.07611040084518
"1220",5,4,6,2,2,2,4,6,4,2601,-1.17184744006476,0.627175551820395
"1221",4,5,4,4,5,7,5,5,6,2606,0.095292223954107,-0.271584725218916
"1222",8,7,5,8,9,9,6,5,8,2617,1.12530408506058,0.594049975211248
