econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle,lrgen,lrecon,galtan,party_id
8.0,7.0,6.0,6.0,6.0,3.0,6.0,6.0,5.0,3104.0
2.0,,2.0,3.0,,4.0,4.0,3.0,4.0,3108.0
3.0,,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3110.0
,,,9.0,10.0,9.0,10.0,9.0,9.0,3107.0
6.0,6.0,2.0,5.0,7.0,6.0,,8.0,4.0,3116.0
,5.0,3.0,5.0,6.0,7.0,6.0,7.0,8.0,3117.0
7.0,,5.0,4.0,,4.0,3.0,5.0,4.0,3118.0
7.0,3.0,5.0,0.0,4.0,0.0,5.0,3.0,0.0,3106.0
10.0,8.0,6.0,10.0,10.0,10.0,10.0,9.0,10.0,3119.0
5.0,5.0,5.0,5.0,10.0,5.0,6.0,7.0,9.0,3101.0
5.0,5.0,5.0,5.0,7.0,1.0,4.0,5.0,4.0,3102.0
5.0,5.0,5.0,7.0,10.0,10.0,9.0,10.0,10.0,3115.0
10.0,8.0,10.0,5.0,5.0,1.0,5.0,5.0,2.0,3105.0
3.0,3.0,5.0,5.0,7.0,4.0,5.0,4.0,5.0,3103.0
10.0,8.0,10.0,5.0,8.0,2.0,5.0,5.0,2.0,3104.0
5.0,3.0,3.0,5.0,,5.0,5.0,5.0,5.0,3108.0
4.0,3.0,4.0,5.0,5.0,0.0,3.0,3.0,3.0,3110.0
4.0,5.0,4.0,8.0,10.0,10.0,,10.0,10.0,3107.0
5.0,5.0,5.0,8.0,10.0,10.0,9.0,10.0,4.0,3116.0
5.0,5.0,4.0,5.0,9.0,5.0,5.0,5.0,7.0,3117.0
5.0,5.0,5.0,8.0,5.0,10.0,6.0,5.0,4.0,3118.0
6.0,7.0,6.0,5.0,5.0,0.0,5.0,5.0,1.0,3106.0
5.0,5.0,5.0,10.0,10.0,10.0,9.0,9.0,10.0,3119.0
6.0,6.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,3101.0
4.0,5.0,4.0,2.0,4.0,2.0,1.0,3.0,2.0,3102.0
7.0,5.0,6.0,8.0,9.0,8.0,9.0,8.0,8.0,3115.0
7.0,5.0,5.0,2.0,4.0,1.0,1.0,4.0,1.0,3105.0
4.0,5.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,3103.0
8.0,5.0,7.0,5.0,5.0,3.0,5.0,5.0,5.0,3104.0
2.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,3108.0
2.0,5.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,3110.0
7.0,5.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,3107.0
2.0,5.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,3116.0
4.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,3117.0
4.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,3118.0
4.0,5.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,3106.0
